,Assists,Demos,Goals,MMR,MVP,Playlist,Playlist ID,Ranked,Saves,Score,Shots,Timestamp,Win
0,0,0,1,2133,0,Doubles,2,0,2,384,5,2020-08-25 23:26:50,1
1,0,0,2,2125,0,Doubles,2,0,3,693,6,2020-08-25 23:35:50,0
2,1,0,0,2117,0,Doubles,2,0,2,441,3,2020-08-25 23:43:15,0
3,0,0,1,2127,0,Doubles,2,0,3,546,4,2020-08-25 23:52:20,1
4,1,0,3,2116,0,Doubles,2,0,1,621,5,2020-08-26 00:00:42,0
5,1,0,2,2116,1,Doubles,2,0,1,490,3,2020-08-30 22:16:23,1
6,0,0,0,2116,0,Doubles,2,0,0,84,1,2020-08-30 22:25:01,0
7,0,0,0,2116,0,Doubles,2,0,2,291,3,2020-08-30 22:32:31,0
8,0,0,3,1335,1,Doubles,11,1,2,746,8,2020-08-30 22:39:56,1
9,2,0,1,1325,0,Doubles,11,1,2,589,5,2020-08-30 22:48:53,0
10,0,0,2,1334,1,Doubles,11,1,3,718,2,2020-08-30 22:57:47,1
11,2,0,1,1344,0,Doubles,11,1,2,522,3,2020-08-30 23:05:26,1
12,0,0,2,1334,0,Doubles,11,1,0,454,5,2020-08-30 23:12:44,0
13,0,0,2,1344,1,Doubles,11,1,2,617,5,2020-08-30 23:21:43,1
14,1,0,2,1344,1,Doubles,11,1,0,460,2,2020-08-30 23:28:57,1
15,0,0,0,1344,0,Doubles,11,1,1,250,5,2020-08-30 23:34:58,0
16,0,0,2,2115,0,Doubles,2,0,2,452,3,2020-09-03 12:01:44,0
17,0,0,2,2124,0,Doubles,2,0,2,483,3,2020-09-03 12:09:04,1
18,1,0,2,2113,0,Doubles,2,0,2,570,5,2020-09-03 14:28:33,0
19,0,0,1,2095,0,Doubles,2,0,5,632,4,2020-09-03 14:36:10,0
20,3,0,1,2101,0,Doubles,2,0,2,668,3,2020-09-03 14:44:09,1
21,0,0,2,2086,0,Doubles,2,0,3,605,5,2020-09-03 14:52:55,0
22,0,0,2,1353,1,Doubles,11,1,2,646,3,2020-09-03 15:00:09,1
23,0,0,4,1362,0,Doubles,11,1,2,867,7,2020-09-03 15:09:51,1
24,0,0,2,1372,1,Doubles,11,1,4,827,9,2020-09-03 15:19:40,1
25,0,0,2,1363,0,Doubles,11,1,2,473,2,2020-09-03 15:27:21,0
26,0,0,1,1354,0,Doubles,11,1,0,306,2,2020-09-03 15:34:10,0
27,0,0,3,1354,1,Doubles,11,1,3,887,8,2020-09-03 15:43:23,1
28,1,0,2,1364,1,Doubles,11,1,2,446,3,2020-09-03 15:48:02,1
29,0,0,0,1373,0,Doubles,11,1,1,143,0,2020-09-03 15:51:58,1
30,1,0,1,1382,0,Doubles,11,1,0,354,4,2020-09-03 15:59:13,1
31,0,0,1,1373,0,Doubles,11,1,2,471,3,2020-09-03 16:06:53,0
32,0,0,2,2079,0,Doubles,2,0,6,929,5,2020-09-03 20:33:49,0
33,0,0,2,2079,0,Doubles,2,0,1,386,3,2020-09-03 20:38:04,1
34,0,0,3,1382,0,Doubles,11,1,0,417,5,2020-09-03 20:43:46,1
35,1,0,0,1373,0,Doubles,11,1,1,362,8,2020-09-03 20:50:32,0
36,1,0,2,1382,1,Doubles,11,1,2,654,3,2020-09-03 20:59:50,1
37,0,0,3,1391,1,Doubles,11,1,1,493,3,2020-09-03 21:04:02,1
38,2,0,3,1401,1,Doubles,11,1,1,687,4,2020-09-03 21:09:16,1
39,0,0,1,1410,0,Doubles,11,1,1,330,5,2020-09-03 21:16:12,1
